date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:02	11807/11807	---M-Z	200	added ('OK')	application/javascript	etag:%222e1f-64936084-17b9ffad8cb0fc10;gz%22	https://creditopopularemprestimos.com.br/wp-content/plugins/webp-express/js/picturefill.min.js	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/plugins/webp-express/js/picturefill.min.js	(from https://creditopopularemprestimos.com.br/)
21:05:02	2578/2578	---M--	200	added ('OK')	image/png	etag:%22a12-62331f8c-b800d243deb537d5;;;%22	https://creditopopularemprestimos.com.br/wp-content/uploads/2022/03/cropped-Fav-icon-Credito-Popular-32x32.png	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/uploads/2022/03/cropped-Fav-icon-Credito-Popular-32x32.png	(from https://creditopopularemprestimos.com.br/)
21:05:02	17746/17746	---M--	200	added ('OK')	image/png	etag:%224552-62331f8c-8febb7bdb49d95a3;;;%22	https://creditopopularemprestimos.com.br/wp-content/uploads/2022/03/cropped-Fav-icon-Credito-Popular-192x192.png	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/uploads/2022/03/cropped-Fav-icon-Credito-Popular-192x192.png	(from https://creditopopularemprestimos.com.br/)
21:05:02	16472/16472	---M--	200	added ('OK')	image/png	etag:%224058-62331f8c-2169d1b51fe95804;;;%22	https://creditopopularemprestimos.com.br/wp-content/uploads/2022/03/cropped-Fav-icon-Credito-Popular-180x180.png	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/uploads/2022/03/cropped-Fav-icon-Credito-Popular-180x180.png	(from https://creditopopularemprestimos.com.br/)
21:05:03	15515/15515	---M--	200	added ('OK')	image/png	etag:%223c9b-621d110e-42814feb175b79ac;;;%22	https://creditopopularemprestimos.com.br/wp-content/uploads/2022/02/cropped-Logo-Credito-Popular-Emprestimos-01.png	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/uploads/2022/02/cropped-Logo-Credito-Popular-Emprestimos-01.png	(from https://creditopopularemprestimos.com.br/)
21:05:03	29401/29401	---M-Z	200	added ('OK')	text/css	etag:%2272d9-632a3dda-410a045f0cb2b90d;gz%22	https://creditopopularemprestimos.com.br/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	(from https://creditopopularemprestimos.com.br/)
21:05:05	244832/244832	---M--	200	added ('OK')	image/jpeg	etag:%223bc60-6425dc8b-b514503d2ed859f9;;;%22	https://creditopopularemprestimos.com.br/wp-content/uploads/2023/03/Banner-desktop.jpg	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/uploads/2023/03/Banner-desktop.jpg	(from https://creditopopularemprestimos.com.br/)
21:05:05	132869/132869	---M--	200	added ('OK')	image/jpeg	etag:%2220705-6425dde3-b33aa8a2b47160cb;;;%22	https://creditopopularemprestimos.com.br/wp-content/uploads/2023/03/New-Banner-mobile.jpg	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/uploads/2023/03/New-Banner-mobile.jpg	(from https://creditopopularemprestimos.com.br/)
21:05:05	107898/107898	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2000:05:05%20GMT	https://creditopopularemprestimos.com.br/agencias/	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/agencias/index.html	(from https://creditopopularemprestimos.com.br/)
21:05:06	12992/12992	---M-Z	200	added ('OK')	text/css	etag:%2232c0-64936727-c768f94f6c9a9438;gz%22	https://creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	(from https://creditopopularemprestimos.com.br/)
21:05:06	11775/11775	---M-Z	200	added ('OK')	text/css	etag:%222dff-64936727-312e324d27d5140f;gz%22	https://creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/Users/Phantom/Desktop/ht/htc/creditopopularemprestimos.com.br/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://creditopopularemprestimos.com.br/)
